title,Series Title,Runtime,Genre,Rating,Cast,Synopsis
Quantum Leap,(2022– ),42 min,"Drama, Mystery, Sci-Fi",5.7,"Raymond Lee, Caitlin Bassett, Mason Alexander Park, Nanrisa Lee","Set 30 years after Dr. Sam Beckett stepped into the Quantum Leap accelerator and vanished, follows a new team that must restart the project hoping to understand the mysteries behind the machine and its creator."
New Girl,(2011–2018),22 min,"Comedy, Romance",7.8,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone","After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
SAS Rogue Heroes,-2022,52 min,"Action, Drama, Thriller",8.2,"Connor Swindells, Jack O'Connell, Alfie Allen, Jacob Ifan",SAS: Rogue Heroes charts the creation of the famed Special Forces unit. Based on the book by Ben Macintyre.
FBI,(2018– ),60 min,"Action, Crime, Drama",7,"Missy Peregrym, Zeeko Zaki, Jeremy Sisto, Alana De La Garza",Procedural drama about the inner workings of the New York office of the Federal Bureau of Investigation.
Abbott Elementary,(2021– ),22 min,Comedy,8.2,"Quinta Brunson, Tyler James Williams, Janelle James, Lisa Ann Walter","Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching."
Fear the Walking Dead,(2015– ),44 min,"Drama, Horror, Sci-Fi",6.8,"Kim Dickens, Frank Dillane, Cliff Curtis, Rubén Blades","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse."
True Blood,(2008–2014),55 min,"Drama, Fantasy, Mystery",7.9,"Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten","Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire."
Fire Country,(2022– ),44 min,Drama,7.1,"Max Thieriot, Kevin Alejandro, Jordan Calloway, Stephanie Arcila",A young convict joins a firefighting program looking for redemption and a shortened prison sentence. He and other inmates work alongside elite firefighters to extinguish massive blazes across the region.
Community,(2009–2015),22 min,Comedy,8.5,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
Sons of Anarchy,(2008–2014),45 min,"Crime, Drama, Thriller",8.6,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
Sex Education,(2019– ),45 min,"Comedy, Drama",8.4,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
The Vampire Diaries,(2009–2017),43 min,"Drama, Fantasy, Horror",7.7,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
The Good Doctor,(2017– ),41 min,Drama,8.1,"Freddie Highmore, Hill Harper, Richard Schiff, Christina Chang","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
ER,(1994–2009),44 min,"Drama, Romance",7.9,"Anthony Edwards, George Clooney, Julianna Margulies, Eriq La Salle","The lives, loves and losses of the doctors and nurses of Chicago's County General Hospital."
Silent Witness,(1996– ),120 min,"Crime, Drama, Mystery",7.9,"Emilia Fox, William Gaminara, David Caves, Tom Ward",Crimes through the eyes of a team of forensic pathologists and forensic scientists.
Detectorists,(2014–2022),30 min,Comedy,8.6,"Mackenzie Crook, Toby Jones, Rachael Stirling, Gerard Horan","The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
One Piece: Wan pîsu,(1999– ),24 min,"Animation, Action, Adventure",8.9,"Mayumi Tanaka, Laurent Vernin, Tony Beck, Akemi Okamura","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
Special Forces: World's Toughest Test,(2023– ),****,Reality-TV,6.5,"Beverley Mitchell, Jamie Lynn Spears, Kenya Moore, Hannah Brown","16 celebrity contestants battle through a set of emulated special forces training challenges, they are removed from society and the staff sergeants control everything within the camp."
Sherlock,(2010–2017),88 min,"Crime, Drama, Mystery",9.1,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.
Chicago P.D.,(2014– ),43 min,"Action, Crime, Drama",8.1,"Jason Beghe, Patrick John Flueger, Marina Squerciati, LaRoyce Hawkins","Follows District 21 of the Chicago Police Department, made up of two different groups: the uniformed cops and the Intelligence Unit."
Star Trek: Strange New Worlds,(2022– ),52 min,"Action, Adventure, Sci-Fi",8.2,"Melissa Navia, Anson Mount, Ethan Peck, Jess Bush","A prequel to Star Trek: The Original Series, the show will follow the crew of the USS Enterprise under Captain Christopher Pike."
Bridgerton,(2020– ),60 min,"Drama, History, Romance",7.4,"Nicola Coughlan, Luke Thompson, Jonathan Bailey, Bessie Carter","Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family."
Parks and Recreation,(2009–2015),22 min,Comedy,8.6,"Amy Poehler, Jim O'Heir, Nick Offerman, Chris Pratt",The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
Y Golau,(2022– ),48 min,"Drama, Thriller",7.2,"Iwan Rheon, Joanna Scanlan, Alexandra Roach, Annes Elwy","When Cat Donato returns to Llanemlyn to try and find out the truth about Ela Roberts' disappearance 18 years ago, not everyone is happy to dig up the past."
Buffy the Vampire Slayer,(1997–2003),44 min,"Action, Drama, Fantasy",8.3,"Sarah Michelle Gellar, Nicholas Brendon, Alyson Hannigan, Anthony Head","A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends."
The Rookie: Feds,(2022– ),43 min,"Action, Crime, Drama",4.9,"Niecy Nash, Britt Robertson, James Lesure, Felix Solis","Special Agent Simone Clark, the oldest rookie in the FBI Academy, is assigned to support the LA field office."
09-01-2001,(2018– ),43 min,"Action, Drama, Thriller",7.8,"Angela Bassett, Peter Krause, Oliver Stark, Aisha Hinds","Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking, and heart-stopping situations."
Cobra Kai,(2018– ),30 min,"Action, Comedy, Drama",8.5,"Ralph Macchio, William Zabka, Courtney Henggeler, Xolo Maridueña","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Totenfrau,(2022– ),45 min,"Crime, Drama, Mystery",6.8,"Anna Maria Mühe, Yousef 'Joe' Sweid, Luis Vorbach, Romina Küper","In a vengeful quest to find out who killed her husband, a woman ends up exposing her small community's deepest and ugliest secrets."
The Mosquito Coast,(2021– ),60 min,"Adventure, Drama, Thriller",6.9,"Justin Theroux, Melissa George, Logan Polish, Gabriel Bateman","Follows the dangerous journey of a radical idealist and brilliant inventor, Allie Fox, who uproots his family for Mexico when they suddenly find themselves on the run from the US government."
Westworld,(2016–2022),62 min,"Drama, Mystery, Sci-Fi",8.5,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton","At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence."
